categoria_01,categoria_02,categoria_03,categoria_00,link
Refrigerador,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Refrigeradores-y-Congeladores/LG-Refrigerador-27Duplex-Instaview-Door-in-Door-con-Dispensador-de-agua/p/668539
Horno,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Horno-a-Gas-Estatico-con-Grill-Electrico-60-Cm/p/667548
Parrilla,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Parrilla-de-gas-5-quemadores/p/668927
Horno,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-electrico-60cm/p/656847
Horno,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Horno-electrico-y-a-gas-80-cm/p/665115
Parrilla,y,Cocina/Linea,Bertazzoni,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Bertazzoni-Parrilla-de-Gas-90cm-con-5-quemadores/p/673812
Horno,y,Cocina/Linea,Hisense,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Hisense-Horno-de-conveccion-60cm/p/683952
Combo,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Combo-horno-electricogas-y-parrilla/p/658980
Parrilla,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-electrica-80cm/p/659319
Horno,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-electrico-90cm/p/509786
Horno,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-de-gas-60cm/p/656841
Parrilla,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-barbacoa-electrica-30cm/p/656851
de,y,Cocina/Linea,Horno,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Horno-de-conveccion-computarizado-San-Son-acero-inoxidable/p/658634
profesional,y,Cocina/Linea,Parrilla,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Parrilla-profesional-San-Son-con-2-quemadores-acero-inoxidable/p/658641
profesional,y,Cocina/Linea,Asador,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Asador-profesional-San-Son-de-12-con-1-quemador-acero-inoxidable/p/658659
Parrilla,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-Teppan-Yaki-30cm/p/659283
Parrilla,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Parrilla-electrica-30cm/p/671494
Horno,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Smeg-Horno-electrico-75cm/p/671498
Parrilla,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Teka-Parrilla-de-gas-5-quemadores-68cm-campana-empotrable-80cm/p/620277
Parrilla,y,Cocina/Linea,Whirlpool,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Hornos-y-Parrillas/Whirlpool-Parrilla-de-gas-5-quemadores-86cm/p/524201
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Portatil-12000-btus-110V-enfriamiento-10-SEER/p/676429
Lavasecadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22Kg-13Kg-con-pedestal/p/674919
Lavavajillas,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/LG-Lavavajillas-60cm-15-servicios/p/664483
Aire,Aire,Acondicionado,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-Portatil-Inverter-LP1419IVSM-Solo-Frio-115V-1-Tonelada-14000-BTUh-WiFi/p/676414
Centro,y,Cocina/Linea,GE,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/GE-Centro-de-lavado-20Kg-20Kg-de-gas/p/663465
Lavadora,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-20Kg/p/593501
Secadora,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-26-KG/p/682702
Lavadora,y,Cocina/Linea,Whirlpool,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Lavadora-20Kg-top-load/p/662833
Lavadora,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Lavadora-22Kg-con-Pedestal/p/660426
Torre,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-electrica-WashTower-gris-22Kg-22Kg/p/681794
centro,y,Cocina/Linea,Whirlpool,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-centro-de-lavado-20kg-10Kg-de-gas/p/652706
Lavasecadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-16Kg-8Kg/p/662455
Lavavajillas,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Teka-Lavavajillas-60cm-13-servicios/p/681577
Lavavajillas,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Maytag-Lavavajillas-empotrable-14-servicios/p/677214
Lavavajillas,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/LG-Lavavajillas-14-Servicios-Libre-de-empotre/p/683950
Lavavajillas,y,Cocina/Linea,KitchenAid,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/KitchenAid-Lavavajillas-60cm-empotrable-13-servicios/p/663155
Smeg,y,Cocina/Linea,Lavavajillas,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Lavavajillas-Smeg-60-cm-Acero/p/684611
Lavavajillas,y,Cocina/Linea,Smeg,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavavajillas/Smeg-Lavavajillas-13-Servicios-60-cm-Acero/p/684847
Aire,Acondicionado,Minisplit,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-36000-btus-220V-enfriamiento-y-calefaccion-17-SEER/p/676432
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-12000-BTU-220V-Gas-R32-con-Wi-Fi/p/682312
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-solo-enfriamiento-18000-BTU-19-SEER-220V/p/669602
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Ventana-De-12000-Bus-a-110V-Solo-Frio/p/680995
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR242HW-Frio-y-Calor-220V-2-Toneladas-22000-BTUh-WiFi/p/677144
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-24000-BTU-220V-Gas-R32-con-Wi-Fi/p/682224
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-18000-BTU-220V-Gas-R32-con-Wi-Fi/p/682318
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-24000-BTU-220V-Gas-R32-con-Wi-Fi/p/682324
Secadora,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-19Kg/p/522129
Lavasecadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22Kg-13Kg-con-pedestal/p/674138
Lavadora,y,Cocina/Linea,Samsung,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavadora-22Kg/p/676247
Lavadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavadora-22Kg-con-pedestal-carga-frontal/p/673524
Torre,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Torre-de-lavado-de-gas-WashTower-gris-22Kg-22Kg/p/668513
Secadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Secadora-de-gas-25-Kg/p/669995
Secadora,y,Cocina/Linea,Whirlpool,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Secadora-electrica-23Kg/p/657021
Secadora,y,Cocina/Linea,Maytag,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Maytag-Secadora-de-gas-22Kg-con-Pedestal/p/660422
Aire,Acondicionado,Minisplit,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/Carrier-Aire-Acondicionado-Minisplit-Inverter-con-Wi-Fi-36000-btus-220V-enfriamiento-y-calefaccion-17-SEER/p/676432
Campana,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/LG-Campana-extractora-y-purificadora-90cm/p/661928
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Enfriamiento-y-Calefaccion-12000-BTU-110V-Gas-R32-con-Wi-Fi/p/683209
Aire,Aire,Acondicionado,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-ArtCool-Inverter-VR182CW-Solo-Frio-220V-15-Toneladas-18000-BTUh-Wifi/p/677141
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR182HW-Frio-y-Calor-220V-15-Toneladas-18000-BTUh-WiFi/p/677142
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-12000-BTU-220V-Gas-R32-con-Wi-Fi/p/682212
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-18000-BTU-220V-Gas-R32-con-Wi-Fi/p/682218
Aire,Aire,Acondicionado,Carrier,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/Carrier-Aire-Acondicionado-Minisplit-Solo-Enfriamiento-12000-BTU-110V-Gas-R32-con-Wi-Fi/p/683208
Lavasecadora,y,Cocina/Linea,Samsung,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavasecadora-125-Kg-7-Kg/p/670277
Lavasecadora,y,Cocina/Linea,Samsung,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Samsung-Lavasecadora-125Kg-7Kg/p/670349
Lavasecadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Lavasecadora-22kg-13Kg-twin-wash-mini-35Kg/p/674473
Combo,y,Cocina/Linea,Whirlpool,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Whirlpool-Combo-de-lavado-de-gas-2123Kg/p/676306
Secadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Secadora-de-gas-25Kg/p/657170
Secadora,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/LG-Secadora-de-gas-22Kg-con-pedestal-carga-frontal/p/673525
Lavadora,y,Cocina/Linea,Bosch,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Lavadoras-y-Secadoras/Bosch-Lavadora-Electrica-8Kg-Front-Load/p/683087
Calentador,Portatil,de,DeLonghi,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-Portatil-de-Aceite/p/653001
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR242HW-Frio-y-Calor-220V-2-Toneladas-22000-BTUh-WiFi/p/677144
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR182HW-Frio-y-Calor-220V-15-Toneladas-18000-BTUh-WiFi/p/677142
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR122HD-Frio-y-Calor-220V-1-Tonelada-12000-BTUh-WiFi/p/677140
Calentador,de,Aceite,DeLonghi,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-de-Aceite-Portatil-TRLS0715EL/p/674429
Estufa,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/LG-Estufa-de-gas-5-quemadores-30/p/676144
Aire,Acondicionado,ArtCool,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/LG-Aire-Acondicionado-ArtCool-Inverter-VR122HD-Frio-y-Calor-220V-1-Tonelada-12000-BTUh-WiFi/p/677140
Calentador,de,Aceite,DeLonghi,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Calentadores/DeLonghi-Calentador-de-Aceite-Portatil-TRLS0715EL/p/674429
Aire,Aire,Acondicionado,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-ArtCool-Inverter-VR122CW-Solo-Frio-220V-1-Tonelada-12000-BTUh-WiFi/p/677139
Aire,Aire,Acondicionado,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-ArtCool-Inverter-VR242CW-Solo-Frio-220V-2-Toneladas-22000-BTUh-WiFi/p/677143
Aire,Aire,Acondicionado,LG,https://www.costco.com.mx/Electrodomesticos/Climatizacion/Aires-Acondicionados/LG-Aire-Acondicionado-DualCool-Inverter-Tipo-Ventana-WiFi-Solo-Frio14000-Btus-VW151CE/p/677150
Estufa,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Teka-Estufa-de-gas-empotrable-con-6-quemadores-30-puerta-reflex/p/659788
Foodi,Cocina/Hornos,Electricos,Ninja,https://www.costco.com.mx/Electrodomesticos/Electrodomesticos-de-Cocina/Hornos-Electricos-y-Microondas/Ninja-Foodi-Horno-con-Freidora-de-Aire-10-en-1-XL/p/1532177
Campana,y,Cocina/Linea,Teka,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/Teka-Campana-de-pared-70-Cm/p/667546
Combo,y,Cocina/Linea,LG,https://www.costco.com.mx/Linea-Blanca-y-Cocina/Linea-Blanca/Estufas-y-Campanas-de-Cocina/LG-Combo-Estufa-De-Piso-a-Gas-Con-Campana-Extractora-Hez3605S/p/684220
